Format Version,1.22,Take Name,Take 2022-09-28 07.08.51 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,08 Dec 1969 05:07:01 +0530,Total Frames in Take,5614,Total Exported Frames,5614,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
22,0.183333,0.034887,-0.133081,0.266570,-0.953946,0.314468,0.566007,0.222551,0.037682,0.310272,0.566387,0.109210,0.272693,0.358213,0.530888,0.264141,0.000250,0.329401,0.557468,0.259837,0.230212,0.276532,0.594553,0.221121,0.057132,0.297921,0.580739,0.258444,0.351380,0.309980,0.566585,0.108669,,,,0.328593,0.558165,0.262662,,,,0.298585,0.580204,0.257205,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,0.034827,-0.133122,0.266373,-0.953997,0.314463,0.565987,0.222529,0.037675,0.310262,0.566387,0.109188,0.275287,0.358224,0.530876,0.264111,0.000250,0.329401,0.557446,0.259813,0.230230,0.276517,0.594518,0.221107,0.059658,0.297912,0.580705,0.258426,0.352027,0.309978,0.566578,0.108642,,,,0.328584,0.558149,0.262640,,,,0.298574,0.580172,0.257201,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,0.034823,-0.133133,0.266379,-0.953994,0.314470,0.565975,0.222526,0.037678,0.310267,0.566377,0.109185,0.274310,0.358231,0.530863,0.264107,0.000250,0.329408,0.557434,0.259809,0.228880,0.276524,0.594507,0.221105,0.058658,0.297920,0.580694,0.258423,0.352342,0.309978,0.566571,0.108639,,,,0.328597,0.558133,0.262649,,,,0.298581,0.580162,0.257193,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,0.034760,-0.133137,0.266454,-0.953975,0.314468,0.565969,0.222505,0.037669,0.310268,0.566383,0.109164,0.276003,0.358222,0.530846,0.264083,0.000250,0.329404,0.557422,0.259787,0.229784,0.276527,0.594508,0.221086,0.060773,0.297920,0.580687,0.258403,0.352829,0.309980,0.566577,0.108616,,,,0.328594,0.558120,0.262625,,,,0.298579,0.580156,0.257176,,,,,,,,,,,,,,,,,,,,,,,,
26,0.216667,0.034723,-0.133160,0.266561,-0.953943,0.314464,0.565981,0.222479,0.037661,0.310261,0.566402,0.109138,0.277830,0.358211,0.530845,0.264054,0.000250,0.329399,0.557428,0.259761,0.229411,0.276529,0.594529,0.221062,0.063728,0.297920,0.580701,0.258379,0.354264,0.309979,0.566592,0.108582,,,,0.328582,0.558132,0.262616,,,,0.298573,0.580175,0.257164,,,,,,,,,,,,,,,,,,,,,,,,
27,0.225000,0.034818,-0.133111,0.266800,-0.953880,0.314456,0.565998,0.222459,0.037651,0.310258,0.566389,0.109118,0.279477,0.358185,0.530853,0.264046,0.000250,0.329386,0.557449,0.259744,0.231985,0.276535,0.594563,0.221033,0.067335,0.297917,0.580735,0.258354,0.352467,0.309980,0.566577,0.108567,,,,0.328560,0.558160,0.262587,,,,0.298577,0.580204,0.257137,,,,,,,,,,,,,,,,,,,,,,,,
28,0.233333,0.035009,-0.133002,0.266623,-0.953938,0.314456,0.566030,0.222438,0.037640,0.310270,0.566378,0.109097,0.280225,0.358195,0.530920,0.264043,0.000250,0.329385,0.557501,0.259728,0.233495,0.276522,0.594578,0.220998,0.070309,0.297907,0.580774,0.258326,0.351618,0.309990,0.566566,0.108549,,,,0.328557,0.558214,0.262573,,,,0.298569,0.580240,0.257103,,,,,,,,,,,,,,,,,,,,,,,,
29,0.241667,0.035074,-0.133007,0.266836,-0.953875,0.314455,0.566055,0.222410,0.037630,0.310264,0.566383,0.109068,0.282970,0.358181,0.530933,0.264019,0.000250,0.329382,0.557526,0.259700,0.234324,0.276534,0.594618,0.220965,0.074135,0.297914,0.580812,0.258295,0.352833,0.309990,0.566567,0.108514,,,,0.328549,0.558245,0.262552,,,,0.298571,0.580282,0.257087,,,,,,,,,,,,,,,,,,,,,,,,
30,0.250000,0.035211,-0.132921,0.266942,-0.953852,0.314444,0.566089,0.222396,0.037621,0.310264,0.566380,0.109054,0.282239,0.358160,0.530974,0.264021,0.000250,0.329366,0.557571,0.259691,0.236572,0.276528,0.594659,0.220939,0.075545,0.297902,0.580861,0.258275,0.353179,0.309980,0.566571,0.108502,,,,0.328549,0.558279,0.262542,,,,0.298559,0.580331,0.257054,,,,,,,,,,,,,,,,,,,,,,,,
31,0.258333,0.035208,-0.132899,0.266997,-0.953840,0.314425,0.566114,0.222384,0.037614,0.310250,0.566403,0.109042,0.281479,0.358136,0.530995,0.264012,0.000250,0.329345,0.557594,0.259680,0.237831,0.276512,0.594688,0.220925,0.077341,0.297883,0.580888,0.258262,0.352378,0.309965,0.566595,0.108493,,,,0.328525,0.558305,0.262538,,,,0.298542,0.580356,0.257036,,,,,,,,,,,,,,,,,,,,,,,,
32,0.266667,0.035158,-0.132908,0.266858,-0.953880,0.314417,0.566121,0.222376,0.037608,0.310243,0.566425,0.109034,0.280441,0.358137,0.531008,0.263999,0.000250,0.329338,0.557600,0.259670,0.239202,0.276496,0.594685,0.220920,0.078266,0.297870,0.580886,0.258256,0.349414,0.309956,0.566618,0.108495,,,,0.328510,0.558315,0.262522,,,,0.298539,0.580346,0.257015,,,,,,,,,,,,,,,,,,,,,,,,
33,0.275000,0.034931,-0.132969,0.267025,-0.953833,0.314409,0.566112,0.222361,0.037602,0.310235,0.566465,0.109019,0.282187,0.358114,0.530964,0.263969,0.000250,0.329327,0.557570,0.259652,0.238755,0.276499,0.594692,0.220917,0.079922,0.297868,0.580869,0.258247,0.351242,0.309955,0.566654,0.108471,,,,0.328494,0.558288,0.262514,,,,0.298530,0.580335,0.257023,,,,,,,,,,,,,,,,,,,,,,,,
34,0.283333,0.034798,-0.133029,0.267102,-0.953807,0.314410,0.566110,0.222360,0.037600,0.310231,0.566494,0.109019,0.283270,0.358110,0.530942,0.263958,0.000250,0.329328,0.557555,0.259649,0.239037,0.276506,0.594698,0.220926,0.079933,0.297874,0.580861,0.258251,0.352103,0.309955,0.566680,0.108468,,,,0.328495,0.558273,0.262504,,,,0.298533,0.580329,0.257036,,,,,,,,,,,,,,,,,,,,,,,,
35,0.291667,0.034648,-0.133000,0.267245,-0.953777,0.314401,0.566089,0.222365,0.037600,0.310238,0.566501,0.109023,0.282537,0.358084,0.530898,0.263960,0.000250,0.329311,0.557521,0.259653,0.238725,0.276507,0.594690,0.220931,0.078757,0.297865,0.580837,0.258257,0.353914,0.309956,0.566691,0.108467,,,,0.328492,0.558227,0.262514,,,,0.298518,0.580310,0.257040,,,,,,,,,,,,,,,,,,,,,,,,
36,0.300000,0.034580,-0.132993,0.267095,-0.953822,0.314397,0.566074,0.222363,0.037598,0.310240,0.566503,0.109020,0.282781,0.358088,0.530888,0.263954,0.000250,0.329307,0.557503,0.259650,0.239122,0.276494,0.594663,0.220932,0.079410,0.297854,0.580811,0.258256,0.352234,0.309960,0.566692,0.108470,,,,0.328479,0.558216,0.262505,,,,0.298514,0.580279,0.257037,,,,,,,,,,,,,,,,,,,,,,,,
37,0.308333,0.034550,-0.133004,0.267025,-0.953842,0.314399,0.566062,0.222358,0.037598,0.310241,0.566500,0.109016,0.283451,0.358095,0.530879,0.263946,0.000250,0.329311,0.557490,0.259645,0.238566,0.276493,0.594647,0.220930,0.080079,0.297855,0.580794,0.258253,0.351723,0.309966,0.566686,0.108465,,,,0.328474,0.558209,0.262502,,,,0.298515,0.580262,0.257037,,,,,,,,,,,,,,,,,,,,,,,,
38,0.316667,0.034675,-0.132968,0.266796,-0.953906,0.314395,0.566052,0.222370,0.037600,0.310238,0.566467,0.109028,0.283845,0.358109,0.530899,0.263966,0.000250,0.329311,0.557496,0.259659,0.239925,0.276475,0.594618,0.220937,0.079104,0.297844,0.580783,0.258262,0.352214,0.309960,0.566653,0.108479,,,,0.328484,0.558207,0.262497,,,,0.298504,0.580251,0.257046,,,,,,,,,,,,,,,,,,,,,,,,
39,0.325000,0.034774,-0.132987,0.266854,-0.953884,0.314412,0.566028,0.222379,0.037615,0.310244,0.566420,0.109037,0.282209,0.358126,0.530878,0.263977,0.000250,0.329331,0.557477,0.259668,0.235980,0.276494,0.594596,0.220943,0.076789,0.297865,0.580766,0.258270,0.352591,0.309965,0.566608,0.108485,,,,0.328502,0.558191,0.262532,,,,0.298523,0.580237,0.257052,,,,,,,,,,,,,,,,,,,,,,,,
40,0.333333,0.034823,-0.132957,0.266771,-0.953909,0.314413,0.566005,0.222386,0.037615,0.310249,0.566387,0.109044,0.283605,0.358132,0.530868,0.263988,0.000250,0.329332,0.557460,0.259676,0.236975,0.276490,0.594567,0.220946,0.076219,0.297862,0.580744,0.258275,0.354004,0.309968,0.566576,0.108488,,,,0.328514,0.558166,0.262523,,,,0.298517,0.580217,0.257061,,,,,,,,,,,,,,,,,,,,,,,,
41,0.341667,0.034693,-0.132981,0.266779,-0.953908,0.314404,0.565971,0.222384,0.037614,0.310243,0.566382,0.109042,0.284506,0.358121,0.530821,0.263979,0.000250,0.329322,0.557416,0.259672,0.237179,0.276483,0.594535,0.220951,0.076902,0.297853,0.580702,0.258276,0.352981,0.309967,0.566568,0.108488,,,,0.328493,0.558127,0.262512,,,,0.298511,0.580172,0.257066,,,,,,,,,,,,,,,,,,,,,,,,
42,0.350000,0.034583,-0.132972,0.266728,-0.953928,0.314411,0.565937,0.222386,0.037621,0.310258,0.566373,0.109043,0.283204,0.358127,0.530781,0.263976,0.000250,0.329327,0.557374,0.259673,0.234502,0.276487,0.594498,0.220956,0.076316,0.297856,0.580658,0.258280,0.350604,0.309985,0.566557,0.108496,,,,0.328482,0.558098,0.262530,,,,0.298520,0.580124,0.257062,,,,,,,,,,,,,,,,,,,,,,,,
43,0.358333,0.034333,-0.133035,0.266775,-0.953915,0.314408,0.565916,0.222392,0.037618,0.310257,0.566409,0.109050,0.284240,0.358117,0.530732,0.263965,0.000250,0.329321,0.557333,0.259675,0.235619,0.276489,0.594484,0.220976,0.075610,0.297855,0.580622,0.258293,0.350901,0.309986,0.566592,0.108502,,,,0.328478,0.558053,0.262512,,,,0.298520,0.580088,0.257082,,,,,,,,,,,,,,,,,,,,,,,,
44,0.366667,0.034093,-0.133129,0.266758,-0.953915,0.314413,0.565875,0.222403,0.037624,0.310256,0.566426,0.109062,0.282181,0.358124,0.530668,0.263956,0.000250,0.329328,0.557272,0.259682,0.234200,0.276495,0.594445,0.221004,0.072356,0.297863,0.580563,0.258313,0.349782,0.309981,0.566613,0.108520,,,,0.328489,0.557987,0.262516,,,,0.298532,0.580026,0.257090,,,,,,,,,,,,,,,,,,,,,,,,
45,0.375000,0.033864,-0.133244,0.266655,-0.953936,0.314417,0.565843,0.222422,0.037631,0.310249,0.566454,0.109081,0.282120,0.358137,0.530620,0.263952,0.000250,0.329337,0.557222,0.259694,0.233211,0.276495,0.594409,0.221042,0.069193,0.297868,0.580510,0.258341,0.351389,0.309974,0.566639,0.108535,,,,0.328505,0.557931,0.262519,,,,0.298533,0.579978,0.257126,,,,,,,,,,,,,,,,,,,,,,,,
